What percentage of days do you typically eat meat or fish?,What percentage grade do you expect to get in this course?,Do you like cilantro?
42,90,Yes
85,83,No
28,83,Yes
100,80,No
100,75,No
100,90,No
100,80,Yes
90,70,Yes
100,90,Yes
71,85,Yes
99,90,Yes
71,80,No
100,95,Yes
100,90,Yes
100,75,Yes
100,100,Yes
100,80,No
50,85,Yes
86,90,Yes
0,80,Yes
100,85,Yes
100,80,Yes
100,80,Yes
71,80,Yes
100,95,No
100,75,Yes
100,80,No
100,80,No
86,85,Yes
50,95,Yes
71,95,Yes
28,85,No
57,85,Yes
100,80,Yes
100,80,No
100,83,No
70,80,No
100,95,Yes
90,90,Yes
100,88,Yes
5,76,Yes
57,70,No
100,90,No
28,86,Yes
100,80,Yes
71,80,No
100,83,Yes
100,80,No
100,90,Yes
100,80,Yes
100,70,Yes
50,80,Yes
100,75,Yes
100,80,Yes
86,100,Yes
100,85,Yes
100,90,Yes
57,80,Yes
90,85,Yes
0,82,No
86,82,Yes
20,72,Yes
0,80,Yes
15,85,Yes
100,80,No
57,80,Yes
71,80,Yes
85,77,Yes
100,80,No
14,70,Yes
100,72,Yes
100,80,Yes
71,75,No
28,100,No
100,80,Yes
100,90,No
85,90,No
100,80,Yes
100,85,Yes
57,75,Yes
30,85,Yes
100,80,No
86,95,Yes
100,85,Yes
100,90,Yes
100,82,No
85,85,Yes
100,79,Yes
50,80,No
100,85,Yes
100,80,Yes
86,85,No
50,85,No
28,90,Yes
75,90,Yes
95,85,Yes
85,77,Yes
71,65,Yes
100,90,No
14,86,Yes
0,80,Yes
100,85,No
75,80,Yes
57,90,Yes
71,90,No
28,93,Yes
100,80,No
100,85,Yes
65,80,Yes
14,80,No
100,80,No
71,90,No
100,80,Yes
100,80,Yes
100,88,No
71,80,Yes
70,91,Yes
80,85,Yes
100,90,No
85,85,Yes
45,90,Yes
50,80,Yes
57,86,Yes
100,90,Yes
100,90,No
100,85,Yes
90,85,Yes
100,80,Yes
86,80,Yes
100,69,No
14,70,Yes
14.28,80,Yes
57,85,No
86,90,Yes
86,85,Yes
57,85,Yes
100,80,Yes
100,90,Yes
100,90,No
0.71,100,Yes
86,85,Yes
85,85,Yes
50,75,No
0,90,Yes
60,90,Yes
43,80,Yes
100,85,No
43,85,Yes
14,88,Yes
60,75,No
43,85,Yes
100,80,Yes
43,93,Yes
90,77,No
50,80,Yes
100,80,No
83.3,78,Yes
71,80,Yes
43,80,Yes
70,70,Yes
5,90,Yes
0,85,Yes
28,85,No
100,90,No
71,80,Yes
100,85,Yes
100,80,No
100,90,Yes
80,91,Yes
100,85,Yes
0,90,Yes
57,80,Yes
35,85,Yes
0.28,80,Yes
57,88,Yes
43,90,Yes
50,80,Yes
85,99,Yes
28,85,Yes
43,85,No
86,87,No
42,85,Yes
99,85,Yes
100,70,No
70,85,No
98,95,Yes
43,70,Yes
100,90,Yes
71,90,Yes
100,85,Yes
100,100,Yes
1,4,No
100,80,No
70,85,Yes
90,75,Yes
100,85,Yes
71,80,Yes
100,90,Yes
0,90,Yes
42,90,Yes
