longitude,latitude,country
-130.0437,55.9773,USA
-134.4197,58.3019,USA
-123.0780,48.9854,USA
-122.7436,48.9881,USA
-122.2691,48.9951,USA
-111.9626,48.9971,USA
-102.5496,48.9959,USA
-97.5533,48.7531,USA
-97.2049,48.9988,USA
-94.6002,48.7124,USA
-93.4110,48.6010,USA
-84.3593,46.4906,USA
-82.4405,42.9816,USA
-83.0466,42.3316,USA
-78.8784,42.8867,USA
-79.0615,43.0844,USA
-79.0359,43.1726,USA
-76.3305,44.1255,USA
-75.4864,44.6943,USA
-74.8921,44.9281,USA
-72.1064,45.0004,USA
-71.7961,45.0095,USA
-69.2275,47.4562,USA
-68.5897,47.2587,USA
-68.3219,47.3556,USA
-67.9353,47.1575,USA
-67.8408,46.1251,USA
-67.4297,45.5634,USA
-67.2781,45.1890,USA
-66.9905,44.9065,USA
-66.9843,44.8607,USA
-74.0060,40.7127,USA
-118.2428,34.0537,USA
-87.6244,41.8756,USA
-95.3677,29.7589,USA
-112.0741,33.4484,USA
-75.1635,39.9527,USA
-98.4951,29.4246,USA
-117.1628,32.7174,USA
-96.7969,32.7763,USA
-121.8906,37.3362,USA
-97.7437,30.2711,USA
-81.6557,30.3322,USA
-97.3327,32.7532,USA
-83.0007,39.9623,USA
-80.8431,35.2272,USA
-122.4199,37.7790,USA
-86.1584,39.7683,USA
-122.3301,47.6038,USA
-104.9849,39.7392,USA
-77.0366,38.8950,USA
-71.0583,42.3603,USA
-106.4646,31.7754,USA
-86.7744,36.1622,USA
-83.0466,42.3316,USA
-97.5171,35.4730,USA
-122.6742,45.5202,USA
-115.1485,36.1673,USA
-90.0516,35.1490,USA
-85.7039,38.2092,USA
-76.6108,39.2909,USA
-87.9225,43.0350,USA
-106.6510,35.0841,USA
-110.9748,32.2229,USA
-119.7848,36.7394,USA
-111.8315,33.4151,USA
-121.4944,38.5816,USA
-84.3902,33.7491,USA
-94.5781,39.1001,USA
-104.8253,38.8340,USA
-95.9384,41.2587,USA
-78.6391,35.7804,USA
-80.1937,25.7743,USA
-118.1916,33.7690,USA
-75.9774,36.8530,USA
-122.2714,37.8045,USA
-93.2655,44.9773,USA
-95.9929,36.1557,USA
-82.4584,27.9478,USA
-97.1056,32.7019,USA
-90.0701,29.9499,USA
-129.9912,55.9383,Canada
-123.0833,49.0167,Canada
-122.8491,49.1913,Canada
-122.3295,49.0521,Canada
-111.9639,49.0017,Canada
-102.5480,49.0014,Canada
-97.2089,49.0061,Canada
-94.5648,48.7227,Canada
-93.3968,48.6114,Canada
-84.3201,46.5239,Canada
-82.4066,42.9746,Canada
-83.0353,42.3171,Canada
-78.9186,42.9131,Canada
-79.1153,43.1010,Canada
-79.0546,43.1642,Canada
-76.3019,44.2110,Canada
-75.5192,44.7184,Canada
-74.7287,45.0184,Canada
-72.0968,45.0072,Canada
-71.7985,45.0126,Canada
-69.2650,47.5052,Canada
-68.6034,47.2527,Canada
-68.3281,47.3644,Canada
-67.9245,47.1652,Canada
-67.5735,46.1503,Canada
-67.4253,45.5672,Canada
-67.2799,45.2004,Canada
-66.9861,44.9762,Canada
-66.9195,44.8938,Canada
-79.3839,43.6535,Canada
-73.6104,45.4972,Canada
-114.0626,51.0534,Canada
-75.6903,45.4211,Canada
-113.5080,53.5354,Canada
-79.6457,43.5903,Canada
-97.1385,49.8955,Canada
-123.1140,49.2609,Canada
-79.7599,43.6858,Canada
-79.8729,43.2561,Canada
-71.2352,46.8260,Canada
-79.8729,43.2561,Canada
-79.7599,43.6858,Canada
-122.8491,49.1913,Canada
-73.7344,45.6056,Canada
-63.5859,44.6486,Canada
-79.5656,43.6436,Canada
-81.2496,42.9837,Canada
-118.7148,50.4165,Canada
-123.3650,48.4283,Canada
-83.0353,42.3171,Canada
-79.3377,43.8564,Canada
-78.8630,43.9177,Canada
-75.7106,45.4284,Canada
-79.5268,43.7942,Canada
-80.4944,43.4532,Canada
-73.4467,45.5172,Canada
-122.9725,49.2434,Canada
-123.0833,49.0833,Canada
-106.6608,52.1318,Canada
-79.4394,43.8801,Canada
-79.6902,44.3893,Canada
-123.1374,49.1632,Canada
-75.7887,45.3113,Canada
-104.6173,50.4488,Canada
-79.6667,43.4474,Canada
-79.7967,43.3249,Canada
-81.0685,46.5815,Canada
-122.3295,49.0521,Canada
-71.0692,48.4060,Canada
-79.2441,43.1580,Canada
-71.8890,45.4033,Canada
-122.8565,49.3144,Canada
-71.1753,46.7910,Canada
-119.4983,49.8893,Canada
-80.3123,43.3601,Canada
-72.5565,46.3327,Canada
-80.2493,43.5461,Canada
-79.3325,43.7000,Canada
-122.7933,49.2843,Canada
-76.4813,44.2307,Canada
-60.1941,46.1380,Canada
-123.0579,49.0846,Canada
-63.5720,44.6800,Canada
-89.2598,48.4064,Canada
-52.7151,47.5617,Canada
-80.5246,43.4669,Canada
-73.6515,45.7081,Canada
-79.0247,43.8504,Canada
-66.0580,45.2788,Canada
-79.0906,43.8358,Canada
-80.2632,43.1408,Canada
-64.8001,46.0980,Canada
-123.9380,49.1638,Canada
-79.8828,43.5137,Canada
-82.4066,42.9746,Canada
-79.1153,43.1010,Canada
-79.4109,43.7615,Canada
-73.6875,45.5089,Canada
-121.9514,49.1577,Canada
-73.4528,45.7326,Canada
-111.3885,56.7292,Canada
-78.3199,44.3048,Canada
-84.3201,46.5239,Canada
-79.4617,44.0563,Canada
-71.3998,46.8884,Canada
-113.8184,52.2698,Canada
-67.9245,47.1652,Canada
-73.2533,45.3057,Canada
-112.8516,49.6943,Canada
-122.5997,49.2197,Canada
-73.4679,45.4555,Canada
-120.3394,50.6758,Canada
-73.6289,45.4680,Canada
-122.7979,49.0235,Canada
-122.7454,53.9129,Canada
-110.6790,50.0430,Canada
-80.4538,42.7972,Canada
-72.5019,45.8864,Canada
-122.9109,49.2068,Canada
-72.0885,46.0004,Canada
-113.2966,53.5257,Canada
-74.0132,45.7754,Canada
-71.1473,48.3820,Canada
-72.7218,45.3990,Canada
-66.6458,45.9664,Canada
-79.2506,42.9931,Canada
-72.9406,45.6275,Canada
-79.4608,46.3092,Canada
